cell_line,mM_NaBu,ncell,Well,Image,Cell Area
DLD1,0,6,A1,1,1.294
DLD1,0,6,A1,1,0.801
DLD1,0,6,A1,1,0.817
DLD1,0,6,A1,1,0.626
DLD1,0,6,B1,2,1.069
DLD1,0,6,B1,2,0.713
DLD1,0,6,B1,2,0.902
DLD1,0,6,B1,2,1.107
DLD1,0,6,C1,3,0.625
DLD1,0,6,C1,3,1.244
DLD1,0,6,C1,3,0.545
DLD1,0,6,C1,3,0.587
DLD1,0,6,D1,4,0.779
DLD1,0,6,D1,4,0.932
DLD1,0,6,D1,4,0.933
DLD1,0.5,6,A2,5,1.208
DLD1,0.5,6,A2,5,0.822
DLD1,0.5,6,A2,5,1.317
DLD1,0.5,6,B2,6,1.186
DLD1,0.5,6,B2,6,1.356
DLD1,0.5,6,B2,6,1.376
DLD1,0.5,6,B2,6,1.138
DLD1,0.5,6,C2,7,1.13
DLD1,0.5,6,C2,7,0.981
DLD1,0.5,6,C2,7,0.805
DLD1,0.5,6,D2,8,0.794
DLD1,0.5,6,D2,8,0.912
DLD1,0.5,6,D2,8,0.753
DLD1,1,6,A3,9,1.059
DLD1,1,6,A3,9,1.549
DLD1,1,6,A3,9,1.446
DLD1,1,6,B3,10,1.137
DLD1,1,6,B3,10,0.844
DLD1,1,6,B3,10,1.178
DLD1,1,6,C3,11,1.048
DLD1,1,6,C3,11,1.209
DLD1,1,6,D3,12,0.682
DLD1,1,6,D3,12,1.072
DLD1,1,6,D3,12,1.123
DLD1,5,6,A4,13,1.258
DLD1,5,6,A4,13,0.65
DLD1,5,6,A4,13,0.953
DLD1,5,6,B4,14,0.929
DLD1,5,6,B4,14,1.806
DLD1,5,6,C4,15,1.208
DLD1,5,6,C4,15,0.76
DLD1,5,6,C4,15,0.736
DLD1,5,6,D4,16,1.258
DLD1,5,6,D4,16,0.928
DLD1,5,6,D4,16,0.851
CACO2,0,1,A1,1,0.07
CACO2,0,1,A1,1,0.068
CACO2,0,1,A1,1,0.12
CACO2,0,1,A1,1,0.186
CACO2,0,1,A1,1,0.056
CACO2,0,6,B1,2,1.3
CACO2,0,6,B1,2,1.496
CACO2,0,6,B1,2,1.12
CACO2,0,6,C1,3,2.782
CACO2,0,6,C1,3,1.65
CACO2,0,6,C1,3,1.323
CACO2,0,6,C1,3,1.457
CACO2,0,6,D1,4,1.132
CACO2,0,6,D1,4,1.018
CACO2,0,6,D1,4,0.798
CACO2,0.5,6,A2,5,1.337
CACO2,0.5,6,A2,5,4.826
CACO2,0.5,6,B2,6,1.053
CACO2,0.5,6,B2,6,1.033
CACO2,0.5,6,C2,7,4.221
CACO2,0.5,6,C2,7,1.3
CACO2,0.5,6,D2,8,1.126
CACO2,0.5,6,D2,8,0.785
CACO2,1,6,A3,9,1.849
CACO2,1,6,A3,9,1.813
CACO2,1,6,B3,10,1.309
CACO2,1,6,B3,10,1.631
CACO2,1,6,C3,11,3.799
CACO2,1,6,C3,11,1.592
CACO2,1,6,C3,11,1.54
CACO2,1,1,D3,12,0.157
CACO2,1,1,D3,12,0.117
CACO2,1,1,D3,12,0.107
CACO2,1,1,D3,12,0.289
CACO2,1,1,D3,12,0.15
CACO2,5,6,A4,13,2.046
CACO2,5,6,A4,13,1.154
CACO2,5,6,B4,14,1.496
CACO2,5,6,B4,14,0.821
CACO2,5,6,C4,15,3.137
CACO2,5,6,D4,16,2.768
