file,mean_diameter,median_diameter_D50,mode_diameter,cell_count,D10,D90
2B_DLD1_P_Gree_08.#m4.,18.726,18.3841,,5494,14.3917,23.7405
3A_DLD1 _P_Gree_11.#m4.,19.3924,19.1012,,3675,15.0014,24.4264
3B_DLD1 _P_Gree_12.#m4.,19.2495,18.9612,,3338,15.1915,24.1784
C2_Caco-2_0._P_Gree_09.#m4.,20.2065,20.3538,,2037,10.3395,29.0066
1D_DLD1_P_Gree_06.#m4.,17.1987,16.7776,,4778,12.9258,22.0854
4B_DLD-1_P_Gree_05.#m4.,20.0801,20.1833,,1237,12.8498,26.5382
B1_Caco-2_CO_P_Gree_04.#m4.,18.3759,18.0718,,951,10.1525,27.5148
A4_Caco-2_5_P_Gree_03.#m4.,18.7886,19.1564,,1195,9.84193,27.5031
2C_DLD1_P_Gree_09.#m4.,18.6515,18.3809,,3960,14.3193,23.3956
3D_DLD-1_P_Gree_03.#m4.,19.9806,19.584,,4152,15.5218,25.2839
3C_DLD1 _P_Gree_13.#m4.,19.614,19.2075,,2724,14.9009,25.0053
4C_DLD-1_P_Gree_07.#m4.,19.8912,20.1213,,932,12.6502,26.081
A2_Caco-2_0._P_Gree_07.#m4.,19.7803,20.0486,,1593,10.3592,27.9578
1A_DLD1_P_Gree_03.#m4.,17.2892,16.75,,4322,12.8799,22.3884
2D_DLD1 _P_Gree_10.#m4.,18.5942,18.3472,,4370,13.7566,23.577
C4_Caco-2_5_P_Gree_05.#m4.,17.6068,15.789,,692,9.496,28.9873
C3_Caco-2_1_P_Gree_13.#m4.,19.4445,19.5206,,1048,9.95067,28.623
A3_Caco-2_1_P_Gree_11.#m4.,19.2733,19.3695,,1028,9.73132,29.3515
4D_DLD-1_P_Gree_08.#m4.,20.2059,20.1772,,1014,13.7378,26.236
B2_Caco-2_0._P_Gree_08.#m4.,19.5094,19.912,,1552,9.91331,28.096
4A_DLD-1_P_Gree_04.#m4.,19.5356,19.9372,,1418,11.821,26.2736
1C_DLD1_P_Gree_05.#m4.,16.9804,16.5354,,5635,12.619,21.8474
C1_Caco-2_CO_P_Gree_05.#m4.,17.8157,17.3442,,1094,9.7905,26.3329
1B_DLD1_P_Gree_04.#m4.,16.6551,16.2443,,6481,12.9367,21.036
A1_Caco-2_CO_P_Gree_03.#m4.,19.3908,18.9517,,1247,10.0682,29.3902
B3_Caco-2_1_P_Gree_12.#m4.,20.197,19.7725,,1496,10.364,30.3977
B4_Caco-2_5_P_Gree_04.#m4.,18.3226,17.8608,,656,9.74572,28.9485
2A_DLD1_P_Gree_07.#m4.,18.4028,18.1272,,5668,14.1835,23.2337
