cell_line,ncell,well,mM_NaBu,uM_Resveratrol,area
DLD1,1,A1,0,0.0,0.147
DLD1,1,A1,0,0.0,0.18
DLD1,1,A1,0,0.0,0.174
DLD1,1,A1,0,0.0,0.164
DLD1,1,A2,0,2.5,0.207
DLD1,1,A2,0,2.5,0.139
DLD1,1,A2,0,2.5,0.131
DLD1,1,A2,0,2.5,0.106
DLD1,1,A2,0,2.5,0.15
DLD1,1,A3,0,5.0,0.119
DLD1,1,A3,0,5.0,0.328
DLD1,1,A3,0,5.0,0.281
DLD1,1,A3,0,5.0,0.141
DLD1,1,A3,0,5.0,0.216
DLD1,1,A4,0,10.0,0.126
DLD1,1,A4,0,10.0,0.114
DLD1,1,A4,0,10.0,0.14
DLD1,1,A4,0,10.0,0.112
DLD1,1,A4,0,10.0,0.127
DLD1,1,A5,0,20.0,0.185
DLD1,1,A5,0,20.0,0.179
DLD1,1,A5,0,20.0,0.107
DLD1,1,A5,0,20.0,0.241
DLD1,1,A5,0,20.0,0.176
DLD1,1,A6,0,40.0,0.247
DLD1,1,A6,0,40.0,0.454
DLD1,1,A6,0,40.0,0.216
DLD1,1,A6,0,40.0,0.299
DLD1,1,A6,0,40.0,0.391
DLD1,6,B1,0,0.0,1.172
DLD1,6,B1,0,0.0,1.082
DLD1,1,B2,0,2.5,0.137
DLD1,1,B2,0,2.5,0.172
DLD1,1,B2,0,2.5,0.136
DLD1,1,B2,0,2.5,0.164
DLD1,1,B2,0,2.5,0.139
DLD1,1,B3,0,5.0,0.157
DLD1,1,B3,0,5.0,0.176
DLD1,1,B3,0,5.0,0.115
DLD1,1,B3,0,5.0,0.118
DLD1,1,B3,0,5.0,0.172
DLD1,1,B4,0,10.0,0.164
DLD1,1,B4,0,10.0,0.235
DLD1,1,B4,0,10.0,0.297
DLD1,1,B4,0,10.0,0.23
DLD1,1,B4,0,10.0,0.218
DLD1,6,B5,0,20.0,1.041
DLD1,6,B5,0,20.0,0.969
DLD1,6,B5,0,20.0,0.876
DLD1,1,B6,0,40.0,0.187
DLD1,1,B6,0,40.0,0.253
DLD1,1,B6,0,40.0,0.138
DLD1,1,B6,0,40.0,0.17
DLD1,1,B6,0,40.0,0.175
DLD1,6,C1,1,0.0,1.56
DLD1,6,C1,1,0.0,1.122
DLD1,1,C2,1,2.5,0.309
DLD1,1,C2,1,2.5,0.446
DLD1,1,C2,1,2.5,0.288
DLD1,1,C2,1,2.5,0.353
DLD1,1,C2,1,2.5,0.131
DLD1,1,C3,1,5.0,0.236
DLD1,1,C3,1,5.0,0.236
DLD1,1,C3,1,5.0,0.293
DLD1,1,C3,1,5.0,0.149
DLD1,1,C3,1,5.0,0.195
DLD1,1,C4,1,10.0,0.155
DLD1,1,C4,1,10.0,0.184
DLD1,1,C4,1,10.0,0.166
DLD1,1,C4,1,10.0,0.121
DLD1,1,C4,1,10.0,0.207
DLD1,1,C5,1,20.0,0.252
DLD1,1,C5,1,20.0,0.126
DLD1,1,C5,1,20.0,0.187
DLD1,1,C5,1,20.0,0.255
DLD1,1,C5,1,20.0,0.178
DLD1,1,C6,1,40.0,1.326
DLD1,1,C6,1,40.0,0.385
DLD1,1,C6,1,40.0,0.186
DLD1,1,C6,1,40.0,0.28
DLD1,1,C6,1,40.0,0.292
DLD1,1,D1,1,0.0,0.18
DLD1,1,D1,1,0.0,0.19
DLD1,1,D1,1,0.0,0.242
DLD1,1,D1,1,0.0,0.27
DLD1,1,D1,1,0.0,0.196
DLD1,1,D2,1,2.5,0.164
DLD1,1,D2,1,2.5,0.437
DLD1,1,D2,1,2.5,0.185
DLD1,1,D2,1,2.5,0.243
DLD1,1,D2,1,2.5,0.218
DLD1,1,D3,1,5.0,0.128
DLD1,1,D3,1,5.0,0.167
DLD1,1,D3,1,5.0,0.254
DLD1,1,D3,1,5.0,0.116
DLD1,1,D3,1,5.0,0.145
DLD1,1,D3,1,5.0,0.181
DLD1,1,D4,1,10.0,0.119
DLD1,1,D4,1,10.0,0.245
DLD1,1,D4,1,10.0,0.341
DLD1,1,D4,1,10.0,0.224
DLD1,1,D4,1,10.0,0.217
DLD1,1,D5,1,20.0,0.278
DLD1,1,D5,1,20.0,0.263
DLD1,1,D5,1,20.0,0.298
DLD1,1,D5,1,20.0,0.214
DLD1,1,D5,1,20.0,0.308
DLD1,1,D6,1,40.0,0.333
DLD1,1,D6,1,40.0,0.687
DLD1,1,D6,1,40.0,0.304
DLD1,1,D6,1,40.0,0.152
DLD1,1,D6,1,40.0,0.321
