fluorophore,cell_line,condition,replicate,column,value
hoechst,DLD1,media,A,1,478
hoechst,DLD1,media,A,2,3636
hoechst,DLD1,control,A,3,4406
hoechst,DLD1,NaBu,A,4,3117
hoechst,DLD1,Resv,A,5,976
hoechst,DLD1,NaBu_Resv,A,6,933
hoechst,CACO2,NaBu,A,7,2368
hoechst,CACO2,Resv,A,8,3528
hoechst,CACO2,NaBu_Resv,A,9,1397
hoechst,CACO2,control,A,10,1197
hoechst,CACO2,media,A,11,3673
hoechst,CACO2,media,A,12,449
hoechst,DLD1,media,B,1,456
hoechst,DLD1,media,B,2,3282
hoechst,DLD1,control,B,3,2908
hoechst,DLD1,NaBu,B,4,2040
hoechst,DLD1,Resv,B,5,860
hoechst,DLD1,NaBu_Resv,B,6,722
hoechst,CACO2,NaBu,B,7,1920
hoechst,CACO2,Resv,B,8,1891
hoechst,CACO2,NaBu_Resv,B,9,1084
hoechst,CACO2,control,B,10,922
hoechst,CACO2,media,B,11,1873
hoechst,CACO2,media,B,12,441
hoechst,DLD1,media,C,1,472
hoechst,DLD1,media,C,2,3093
hoechst,DLD1,control,C,3,3053
hoechst,DLD1,NaBu,C,4,2356
hoechst,DLD1,Resv,C,5,802
hoechst,DLD1,NaBu_Resv,C,6,658
hoechst,CACO2,NaBu,C,7,1698
hoechst,CACO2,Resv,C,8,1293
hoechst,CACO2,NaBu_Resv,C,9,1122
hoechst,CACO2,control,C,10,837
hoechst,CACO2,media,C,11,1691
hoechst,CACO2,media,C,12,424
hoechst,DLD1,media,D,1,452
hoechst,DLD1,media,D,2,2731
hoechst,DLD1,control,D,3,3122
hoechst,DLD1,NaBu,D,4,2184
hoechst,DLD1,Resv,D,5,835
hoechst,DLD1,NaBu_Resv,D,6,627
hoechst,CACO2,NaBu,D,7,1478
hoechst,CACO2,Resv,D,8,2154
hoechst,CACO2,NaBu_Resv,D,9,1117
hoechst,CACO2,control,D,10,943
hoechst,CACO2,media,D,11,1722
hoechst,CACO2,media,D,12,446
hoechst,DLD1,media,E,1,448
hoechst,DLD1,media,E,2,3465
hoechst,DLD1,control,E,3,3023
hoechst,DLD1,NaBu,E,4,2074
hoechst,DLD1,Resv,E,5,896
hoechst,DLD1,NaBu_Resv,E,6,727
hoechst,CACO2,NaBu,E,7,1905
hoechst,CACO2,Resv,E,8,1311
hoechst,CACO2,NaBu_Resv,E,9,1227
hoechst,CACO2,control,E,10,979
hoechst,CACO2,media,E,11,1762
hoechst,CACO2,media,E,12,449
hoechst,DLD1,media,F,1,388
hoechst,DLD1,media,F,2,3157
hoechst,DLD1,control,F,3,3105
hoechst,DLD1,NaBu,F,4,2373
hoechst,DLD1,Resv,F,5,919
hoechst,DLD1,NaBu_Resv,F,6,696
hoechst,CACO2,NaBu,F,7,1740
hoechst,CACO2,Resv,F,8,1498
hoechst,CACO2,NaBu_Resv,F,9,1191
hoechst,CACO2,control,F,10,1050
hoechst,CACO2,media,F,11,1575
hoechst,CACO2,media,F,12,446
hoechst,DLD1,media,G,1,439
hoechst,DLD1,media,G,2,3115
hoechst,DLD1,control,G,3,2995
hoechst,DLD1,NaBu,G,4,2189
hoechst,DLD1,Resv,G,5,760
hoechst,DLD1,NaBu_Resv,G,6,623
hoechst,CACO2,NaBu,G,7,1736
hoechst,CACO2,Resv,G,8,1402
hoechst,CACO2,NaBu_Resv,G,9,1071
hoechst,CACO2,control,G,10,1045
hoechst,CACO2,media,G,11,1617
hoechst,CACO2,media,G,12,440
hoechst,DLD1,media,H,1,464
hoechst,DLD1,media,H,2,3838
hoechst,DLD1,control,H,3,3975
hoechst,DLD1,NaBu,H,4,2564
hoechst,DLD1,Resv,H,5,1040
hoechst,DLD1,NaBu_Resv,H,6,840
hoechst,CACO2,NaBu,H,7,2215
hoechst,CACO2,Resv,H,8,1015
hoechst,CACO2,NaBu_Resv,H,9,1182
hoechst,CACO2,control,H,10,1107
hoechst,CACO2,media,H,11,1987
hoechst,CACO2,media,H,12,485
