fluorophore,cell_line,condition,replicate,column,value
resazurin,DLD1,media,A,1,310
resazurin,DLD1,media,A,2,3314
resazurin,DLD1,control,A,3,3114
resazurin,DLD1,NaBu,A,4,2269
resazurin,DLD1,Resv,A,5,584
resazurin,DLD1,NaBu_Resv,A,6,585
resazurin,CACO2,NaBu,A,7,783
resazurin,CACO2,Resv,A,8,888
resazurin,CACO2,NaBu_Resv,A,9,588
resazurin,CACO2,control,A,10,546
resazurin,CACO2,media,A,11,682
resazurin,CACO2,media,A,12,328
resazurin,DLD1,media,B,1,313
resazurin,DLD1,media,B,2,3281
resazurin,DLD1,control,B,3,2856
resazurin,DLD1,NaBu,B,4,1933
resazurin,DLD1,Resv,B,5,564
resazurin,DLD1,NaBu_Resv,B,6,557
resazurin,CACO2,NaBu,B,7,834
resazurin,CACO2,Resv,B,8,877
resazurin,CACO2,NaBu_Resv,B,9,610
resazurin,CACO2,control,B,10,607
resazurin,CACO2,media,B,11,682
resazurin,CACO2,media,B,12,341
resazurin,DLD1,media,C,1,318
resazurin,DLD1,media,C,2,2999
resazurin,DLD1,control,C,3,2813
resazurin,DLD1,NaBu,C,4,1957
resazurin,DLD1,Resv,C,5,562
resazurin,DLD1,NaBu_Resv,C,6,536
resazurin,CACO2,NaBu,C,7,705
resazurin,CACO2,Resv,C,8,825
resazurin,CACO2,NaBu_Resv,C,9,617
resazurin,CACO2,control,C,10,624
resazurin,CACO2,media,C,11,690
resazurin,CACO2,media,C,12,340
resazurin,DLD1,media,D,1,312
resazurin,DLD1,media,D,2,2672
resazurin,DLD1,control,D,3,3037
resazurin,DLD1,NaBu,D,4,1778
resazurin,DLD1,Resv,D,5,546
resazurin,DLD1,NaBu_Resv,D,6,532
resazurin,CACO2,NaBu,D,7,679
resazurin,CACO2,Resv,D,8,851
resazurin,CACO2,NaBu_Resv,D,9,578
resazurin,CACO2,control,D,10,542
resazurin,CACO2,media,D,11,696
resazurin,CACO2,media,D,12,345
resazurin,DLD1,media,E,1,315
resazurin,DLD1,media,E,2,3138
resazurin,DLD1,control,E,3,2507
resazurin,DLD1,NaBu,E,4,1414
resazurin,DLD1,Resv,E,5,589
resazurin,DLD1,NaBu_Resv,E,6,542
resazurin,CACO2,NaBu,E,7,749
resazurin,CACO2,Resv,E,8,788
resazurin,CACO2,NaBu_Resv,E,9,596
resazurin,CACO2,control,E,10,587
resazurin,CACO2,media,E,11,700
resazurin,CACO2,media,E,12,342
resazurin,DLD1,media,F,1,330
resazurin,DLD1,media,F,2,3216
resazurin,DLD1,control,F,3,2576
resazurin,DLD1,NaBu,F,4,2001
resazurin,DLD1,Resv,F,5,544
resazurin,DLD1,NaBu_Resv,F,6,518
resazurin,CACO2,NaBu,F,7,759
resazurin,CACO2,Resv,F,8,793
resazurin,CACO2,NaBu_Resv,F,9,589
resazurin,CACO2,control,F,10,635
resazurin,CACO2,media,F,11,673
resazurin,CACO2,media,F,12,338
resazurin,DLD1,media,G,1,301
resazurin,DLD1,media,G,2,2891
resazurin,DLD1,control,G,3,2718
resazurin,DLD1,NaBu,G,4,1766
resazurin,DLD1,Resv,G,5,595
resazurin,DLD1,NaBu_Resv,G,6,519
resazurin,CACO2,NaBu,G,7,764
resazurin,CACO2,Resv,G,8,902
resazurin,CACO2,NaBu_Resv,G,9,598
resazurin,CACO2,control,G,10,613
resazurin,CACO2,media,G,11,677
resazurin,CACO2,media,G,12,337
resazurin,DLD1,media,H,1,316
resazurin,DLD1,media,H,2,3562
resazurin,DLD1,control,H,3,3364
resazurin,DLD1,NaBu,H,4,2324
resazurin,DLD1,Resv,H,5,642
resazurin,DLD1,NaBu_Resv,H,6,580
resazurin,CACO2,NaBu,H,7,765
resazurin,CACO2,Resv,H,8,827
resazurin,CACO2,NaBu_Resv,H,9,606
resazurin,CACO2,control,H,10,597
resazurin,CACO2,media,H,11,716
resazurin,CACO2,media,H,12,340
