condition,image,nucleus_area
control,1,125.913
control,2,171.278
control,3,151.815
control,4,92.469
control,5,146.902
Resv,6,532.303
Resv,7,377.003
Resv,8,482.349
Resv,9,477.731
Resv,9,283.279
Resv,9,472.08
Resv,9,424.187
NaBu,10,188.806
NaBu,10,213.409
NaBu,10,255.906
NaBu,11,208.217
NaBu,11,170.755
NaBu,11,195.253
NaBu,12,252.23
NaBu,12,109.771
NaBu,12,124.094
NaBu,12,146.484
NaBu,12,75.097
NaBu_Resv,13,666.991
NaBu_Resv,13,693.928
NaBu_Resv,13,243.134
NaBu_Resv,13,318.284
NaBu_Resv,14,316.071
NaBu_Resv,14,286.485
NaBu_Resv,14,220.832
NaBu_Resv,14,221.354
NaBu_Resv,14,200.864
NaBu_Resv,14,144.393
NaBu_Resv,15,306.906
NaBu_Resv,15,365.346
NaBu_Resv,15,251.829
NaBu_Resv,15,177.847
NaBu_Resv,15,266.448
