fluorophore,cell_line,condition,replicate,column,value
hoechst,DLD1,media,A,1,218
hoechst,DLD1,media,A,2,17860
hoechst,DLD1,control,A,3,18316
hoechst,DLD1,NaBu_Resv,A,4,16963
hoechst,DLD1,Resv,A,5,12499
hoechst,DLD1,NaBu,A,6,5817
hoechst,CACO2,NaBu_Resv,A,7,10100
hoechst,CACO2,Resv,A,8,12359
hoechst,CACO2,NaBu,A,9,10960
hoechst,CACO2,control,A,10,11331
hoechst,CACO2,media,A,11,6633
hoechst,CACO2,media,A,12,253
hoechst,DLD1,media,B,1,140
hoechst,DLD1,media,B,2,20368
hoechst,DLD1,control,B,3,20063
hoechst,DLD1,NaBu_Resv,B,4,19344
hoechst,DLD1,Resv,B,5,14861
hoechst,DLD1,NaBu,B,6,6179
hoechst,CACO2,NaBu_Resv,B,7,10812
hoechst,CACO2,Resv,B,8,11098
hoechst,CACO2,NaBu,B,9,12093
hoechst,CACO2,control,B,10,10933
hoechst,CACO2,media,B,11,6006
hoechst,CACO2,media,B,12,224
hoechst,DLD1,media,C,1,159
hoechst,DLD1,media,C,2,19817
hoechst,DLD1,control,C,3,22438
hoechst,DLD1,NaBu_Resv,C,4,18642
hoechst,DLD1,Resv,C,5,14996
hoechst,DLD1,NaBu,C,6,5468
hoechst,CACO2,NaBu_Resv,C,7,10910
hoechst,CACO2,Resv,C,8,11885
hoechst,CACO2,NaBu,C,9,11777
hoechst,CACO2,control,C,10,11127
hoechst,CACO2,media,C,11,6687
hoechst,CACO2,media,C,12,175
hoechst,DLD1,media,D,1,131
hoechst,DLD1,media,D,2,21428
hoechst,DLD1,control,D,3,22056
hoechst,DLD1,NaBu_Resv,D,4,19466
hoechst,DLD1,Resv,D,5,13695
hoechst,DLD1,NaBu,D,6,5984
hoechst,CACO2,NaBu_Resv,D,7,10000
hoechst,CACO2,Resv,D,8,11414
hoechst,CACO2,NaBu,D,9,11362
hoechst,CACO2,control,D,10,10131
hoechst,CACO2,media,D,11,6931
hoechst,CACO2,media,D,12,171
hoechst,DLD1,media,E,1,150
hoechst,DLD1,media,E,2,21426
hoechst,DLD1,control,E,3,22596
hoechst,DLD1,NaBu_Resv,E,4,19907
hoechst,DLD1,Resv,E,5,14700
hoechst,DLD1,NaBu,E,6,5345
hoechst,CACO2,NaBu_Resv,E,7,9458
hoechst,CACO2,Resv,E,8,11406
hoechst,CACO2,NaBu,E,9,11274
hoechst,CACO2,control,E,10,10937
hoechst,CACO2,media,E,11,6387
hoechst,CACO2,media,E,12,132
hoechst,DLD1,media,F,1,124
hoechst,DLD1,media,F,2,21747
hoechst,DLD1,control,F,3,22298
hoechst,DLD1,NaBu_Resv,F,4,18620
hoechst,DLD1,Resv,F,5,14305
hoechst,DLD1,NaBu,F,6,6097
hoechst,CACO2,NaBu_Resv,F,7,9832
hoechst,CACO2,Resv,F,8,10732
hoechst,CACO2,NaBu,F,9,10884
hoechst,CACO2,control,F,10,10008
hoechst,CACO2,media,F,11,6747
hoechst,CACO2,media,F,12,185
hoechst,DLD1,media,G,1,110
hoechst,DLD1,media,G,2,21704
hoechst,DLD1,control,G,3,22040
hoechst,DLD1,NaBu_Resv,G,4,18838
hoechst,DLD1,Resv,G,5,14129
hoechst,DLD1,NaBu,G,6,5515
hoechst,CACO2,NaBu_Resv,G,7,10015
hoechst,CACO2,Resv,G,8,11606
hoechst,CACO2,NaBu,G,9,12232
hoechst,CACO2,control,G,10,10715
hoechst,CACO2,media,G,11,7041
hoechst,CACO2,media,G,12,172
hoechst,DLD1,media,H,1,146
hoechst,DLD1,media,H,2,21739
hoechst,DLD1,control,H,3,21837
hoechst,DLD1,NaBu_Resv,H,4,17886
hoechst,DLD1,Resv,H,5,13015
hoechst,DLD1,NaBu,H,6,6640
hoechst,CACO2,NaBu_Resv,H,7,10910
hoechst,CACO2,Resv,H,8,10778
hoechst,CACO2,NaBu,H,9,11927
hoechst,CACO2,control,H,10,10182
hoechst,CACO2,media,H,11,6547
hoechst,CACO2,media,H,12,200
