Condition,Replicate,Day,Value
Control,Control1_1,1,2.79E+07
Control,Control1_1,1,2.71E+07
Control,Control1_1,2,2.86E+07
Control,Control1_1,2,2.85E+07
Control,Control1_1,3,3.87E+07
Control,Control1_1,3,3.90E+07
Control,Control1_1,4,4.35E+07
Control,Control1_1,4,4.72E+07
Control,Control1_2,1,2.83E+07
Control,Control1_2,1,2.63E+07
Control,Control1_2,2,3.61E+07
Control,Control1_2,2,2.64E+07
Control,Control1_2,3,3.42E+07
Control,Control1_2,3,2.94E+07
Control,Control1_2,4,3.88E+07
Control,Control1_2,4,3.87E+07
Control,Control2_1,1,2.82E+07
Control,Control2_1,1,2.76E+07
Control,Control2_1,2,2.94E+07
Control,Control2_1,2,2.81E+07
Control,Control2_1,3,3.10E+07
Control,Control2_1,3,2.97E+07
Control,Control2_1,4,3.32E+07
Control,Control2_1,4,3.21E+07
Control,Control2_2,1,2.82E+07
Control,Control2_2,1,2.80E+07
Control,Control2_2,2,1.65E+07
Control,Control2_2,2,2.54E+07
Control,Control2_2,3,1.99E+07
Control,Control2_2,3,2.73E+07
Control,Control2_2,4,2.25E+07
Control,Control2_2,4,2.92E+07
CRISPR,CRISPR1_1,1,2.36E+07
CRISPR,CRISPR1_1,1,2.22E+07
CRISPR,CRISPR1_1,2,3.24E+07
CRISPR,CRISPR1_1,2,2.93E+07
CRISPR,CRISPR1_1,3,3.81E+07
CRISPR,CRISPR1_1,3,3.34E+07
CRISPR,CRISPR1_1,4,4.07E+07
CRISPR,CRISPR1_1,4,3.80E+07
CRISPR,CRISPR1_2,1,1.87E+07
CRISPR,CRISPR1_2,1,1.80E+07
CRISPR,CRISPR1_2,2,2.38E+07
CRISPR,CRISPR1_2,2,2.51E+07
CRISPR,CRISPR1_2,3,2.95E+07
CRISPR,CRISPR1_2,3,2.72E+07
CRISPR,CRISPR1_2,4,3.12E+07
CRISPR,CRISPR1_2,4,3.16E+07
CRISPR,CRISPR2_1,1,1.92E+07
CRISPR,CRISPR2_1,1,1.86E+07
CRISPR,CRISPR2_1,2,2.52E+07
CRISPR,CRISPR2_1,2,2.16E+07
CRISPR,CRISPR2_1,3,2.81E+07
CRISPR,CRISPR2_1,3,3.15E+07
CRISPR,CRISPR2_1,4,2.94E+07
CRISPR,CRISPR2_1,4,2.93E+07
CRISPR,CRISPR2_2,1,1.57E+07
CRISPR,CRISPR2_2,1,1.88E+07
CRISPR,CRISPR2_2,2,1.84E+07
CRISPR,CRISPR2_2,2,2.24E+07
CRISPR,CRISPR2_2,3,2.04E+07
CRISPR,CRISPR2_2,3,2.43E+07
CRISPR,CRISPR2_2,4,2.19E+07
CRISPR,CRISPR2_2,4,2.74E+07
