"Multisizer","11:16  29 Jun 2026"
"File name:","A1_Caco-2_CO_P_Gree_03 (1).#m4_"
"Multisizer","11:16  29 Jun 2026"
"File name:","A1_Caco-2_CO_P_Gree_03.#m4_"
"Multisizer","11:16  29 Jun 2026"
"File name:","A2_Caco-2_0._P_Gree_07.#m4_"
"Multisizer","11:16  29 Jun 2026"
"File name:","A3_Caco-2_1_P_Gree_11.#m4_"
"Multisizer","11:16  29 Jun 2026"
"File name:","A4_Caco-2_5_P_Gree_03.#m4_"
"Multisizer","11:16  29 Jun 2026"
"File name:","B1_Caco-2_CO_P_Gree_04.#m4_"
"Multisizer","11:16  29 Jun 2026"
"File name:","B2_Caco-2_0._P_Gree_08.#m4_"
"Multisizer","11:16  29 Jun 2026"
"File name:","B3_Caco-2_1_P_Gree_12.#m4_"
"Multisizer","11:16  29 Jun 2026"
"File name:","B4_Caco-2_5_P_Gree_04.#m4_"
"Multisizer","11:16  29 Jun 2026"
"File name:","C1_Caco-2_CO_P_Gree_05.#m4_"
"Multisizer","11:16  29 Jun 2026"
"File name:","C2_Caco-2_0._P_Gree_09.#m4_"
"Multisizer","11:16  29 Jun 2026"
"File name:","C3_Caco-2_1_P_Gree_13.#m4_"
"Multisizer","11:16  29 Jun 2026"
"File name:","C4_Caco-2_5_P_Gree_05.#m4_"
"","A1_Caco-2_CO_P_Gree_03 (1).#m4_","A1_Caco-2_CO_P_Gree_03.#m4_","A2_Caco-2_0._P_Gree_07.#m4_","A3_Caco-2_1_P_Gree_11.#m4_","A4_Caco-2_5_P_Gree_03.#m4_","B1_Caco-2_CO_P_Gree_04.#m4_","B2_Caco-2_0._P_Gree_08.#m4_","B3_Caco-2_1_P_Gree_12.#m4_","B4_Caco-2_5_P_Gree_04.#m4_","C1_Caco-2_CO_P_Gree_05.#m4_","C2_Caco-2_0._P_Gree_09.#m4_","C3_Caco-2_1_P_Gree_13.#m4_","C4_Caco-2_5_P_Gree_05.#m4_"
"Bin Diameter (Center)","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff."
"um","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number"
9.039,9,9,11,12,15,6,18,14,13,15,19,16,12
9.116,11,11,25,10,16,12,19,13,4,17,10,13,13
9.194,9,9,10,13,8,4,17,12,9,16,16,10,10
9.271,8,8,5,16,7,8,15,5,3,9,19,9,12
9.349,13,13,10,9,12,3,12,8,7,11,8,9,8
9.426,11,11,8,12,11,6,12,12,7,8,16,12,9
9.504,5,5,12,10,15,10,13,16,3,15,15,7,13
9.581,10,10,7,9,9,8,8,9,4,6,15,6,11
9.659,9,9,9,7,9,6,11,6,10,6,10,6,7
9.736,18,18,7,11,8,8,8,4,9,5,7,4,5
9.814,7,7,7,4,11,3,12,10,4,7,18,5,10
9.891,4,4,7,6,5,5,13,5,7,10,11,7,2
9.969,6,6,7,6,4,4,6,9,2,9,11,3,6
10.05,6,6,5,2,7,6,7,5,3,5,7,2,8
10.12,11,11,4,9,4,7,6,4,5,5,8,7,9
10.20,4,4,13,11,7,6,10,8,8,5,5,4,6
10.28,4,4,8,7,5,5,8,6,5,2,7,7,5
10.36,9,9,8,4,5,5,9,6,3,4,6,4,2
10.43,9,9,8,6,6,9,5,6,4,4,11,7,8
10.51,4,4,15,3,1,3,8,6,4,11,14,5,2
10.59,8,8,5,5,5,4,8,4,7,7,9,10,3
10.67,3,3,9,6,8,5,10,7,2,5,4,2,1
10.74,5,5,5,5,11,3,8,4,3,5,8,5,3
10.82,7,7,5,4,2,6,5,5,13,7,7,4,9
10.90,3,3,4,2,4,4,9,5,3,5,7,0,9
10.98,4,4,7,6,7,7,7,4,2,9,8,3,2
11.05,3,3,6,5,4,8,6,3,5,10,10,3,3
11.13,4,4,2,3,7,4,4,5,4,5,8,3,3
11.21,2,2,8,2,3,3,2,6,2,1,3,5,5
11.29,3,3,5,2,5,5,3,1,0,3,7,3,7
11.36,4,4,2,2,5,5,5,4,1,7,7,1,4
11.44,2,2,1,3,2,1,4,3,2,7,6,4,3
11.52,3,3,5,3,4,3,5,5,5,5,5,2,4
11.60,5,5,2,2,5,5,5,2,1,2,3,3,3
11.67,5,5,3,2,2,2,5,6,0,5,4,1,3
11.75,3,3,6,6,3,3,8,3,2,6,4,2,2
11.83,6,6,8,3,4,4,2,2,5,2,8,4,2
11.91,4,4,2,2,5,5,3,3,9,6,3,2,3
11.98,1,1,2,4,4,2,5,3,1,7,7,3,1
12.06,4,4,5,1,1,3,5,6,3,5,9,4,2
12.14,2,2,2,2,4,4,4,4,2,7,3,2,1
12.22,4,4,4,8,4,6,4,2,4,4,5,2,2
12.29,3,3,2,2,2,4,3,4,0,2,2,2,3
12.37,1,1,5,2,6,2,1,4,2,4,4,0,2
12.45,6,6,4,1,3,0,5,4,0,4,6,1,4
12.53,4,4,6,4,2,5,4,0,3,6,2,0,2
12.60,4,4,4,4,1,3,4,4,2,3,1,3,2
12.68,1,1,4,3,5,4,0,2,2,4,2,1,3
12.76,3,3,1,1,2,3,2,1,3,4,4,2,6
12.84,5,5,4,1,5,7,5,2,5,4,1,4,4
12.91,11,11,1,1,2,5,3,7,2,2,4,1,5
12.99,2,2,2,2,3,1,1,2,4,3,4,1,1
13.07,3,3,2,2,4,4,4,2,4,1,3,2,1
13.15,4,4,4,3,2,2,0,4,4,2,5,2,5
13.22,3,3,4,4,2,4,1,2,4,1,2,4,3
13.30,6,6,2,2,7,6,2,2,1,4,3,1,3
13.38,6,6,4,4,1,1,4,3,4,3,3,2,4
13.46,3,3,2,2,5,3,4,6,0,6,2,1,2
13.53,0,0,1,2,4,2,4,6,2,3,6,6,2
13.61,2,2,3,5,1,3,3,4,0,1,4,0,0
13.69,8,8,2,6,0,4,2,2,2,4,1,4,3
13.77,5,5,8,4,2,3,3,1,1,8,3,3,1
13.84,0,0,3,1,3,4,0,4,4,2,6,1,3
13.92,3,3,2,2,6,3,2,3,1,4,5,1,5
14.00,3,3,3,1,2,3,3,3,2,10,5,2,4
14.08,3,3,8,3,2,5,5,1,0,7,8,0,2
14.15,0,0,4,4,4,2,2,2,0,5,4,2,1
14.23,2,2,1,1,3,3,4,5,0,6,3,5,1
14.31,3,3,1,0,1,6,1,1,0,5,4,1,3
14.39,5,5,2,5,0,7,2,1,1,1,2,2,0
14.46,2,2,7,1,5,3,1,2,2,2,2,1,1
14.54,5,5,6,0,3,1,3,2,2,4,2,2,1
14.62,4,4,3,1,2,4,2,2,2,10,0,2,2
14.70,3,3,2,1,0,4,4,2,1,1,6,5,2
14.77,3,3,1,1,2,3,1,1,2,4,5,2,4
14.85,1,1,2,5,1,2,2,3,5,6,4,3,2
14.93,2,2,3,4,2,4,2,4,3,6,4,2,4
15.01,5,5,2,4,2,1,3,5,1,4,4,0,3
15.08,3,3,7,2,2,4,5,2,3,2,2,6,1
15.16,5,5,3,2,5,2,2,1,1,3,4,4,0
15.24,5,5,2,3,6,3,1,1,5,5,5,2,2
15.32,1,1,1,1,3,5,2,3,1,4,4,2,1
15.39,3,3,3,0,1,2,4,1,2,3,1,2,5
15.47,3,3,2,3,5,0,3,4,1,4,5,5,1
15.55,1,1,3,4,7,4,3,3,0,1,4,2,2
15.63,3,3,5,3,3,7,3,3,2,2,5,1,2
15.70,1,1,1,4,5,2,0,4,1,5,2,4,2
15.78,5,5,3,3,0,1,0,3,2,2,5,0,5
15.86,4,4,2,2,1,2,1,4,3,3,1,5,2
15.94,5,5,5,4,4,3,1,1,0,6,1,1,2
16.01,7,7,0,2,3,5,3,2,1,5,4,2,2
16.09,7,7,4,2,3,2,4,5,3,2,6,2,1
16.17,2,2,2,2,2,2,3,6,2,3,1,2,2
16.25,4,4,5,4,2,0,4,5,3,5,3,0,1
16.32,3,3,4,1,4,2,4,8,1,3,4,2,2
16.40,5,5,0,1,1,3,2,11,0,2,4,4,1
16.48,5,5,1,5,4,9,1,3,0,2,2,8,2
16.56,6,6,3,8,2,3,4,7,1,6,6,2,3
16.63,3,3,4,3,1,3,2,8,2,9,6,2,2
16.71,3,3,0,2,1,2,3,9,2,4,2,6,2
16.79,3,3,3,2,5,3,2,3,2,3,8,4,4
16.87,5,5,3,1,3,4,2,7,4,5,4,2,4
16.94,8,8,7,5,4,6,6,5,3,1,10,4,0
17.02,5,5,6,3,5,6,4,4,3,3,6,5,2
17.10,5,5,4,2,7,5,3,5,3,5,8,2,5
17.18,5,5,5,2,1,6,4,6,6,7,6,5,3
17.25,11,11,4,2,6,4,7,3,2,4,5,4,1
17.33,5,5,5,3,5,0,5,7,0,3,7,4,2
17.41,2,2,2,2,2,4,7,7,1,7,6,4,3
17.49,4,4,3,4,7,4,7,10,2,5,5,3,3
17.56,5,5,7,3,7,3,6,6,2,8,8,3,3
17.64,6,6,7,4,3,4,6,3,1,9,7,4,2
17.72,3,3,10,3,4,8,3,6,1,8,5,5,1
17.80,6,6,8,6,6,3,4,7,0,6,14,6,4
17.87,8,8,6,0,4,5,5,10,3,7,10,3,1
17.95,2,2,6,2,7,6,7,12,3,8,13,3,4
18.03,2,2,11,7,4,1,9,2,2,7,9,3,1
18.11,5,5,5,3,4,9,12,10,1,7,11,11,0
18.18,5,5,7,3,7,5,7,3,2,3,12,7,4
18.26,8,8,6,4,2,6,11,8,4,1,8,8,0
18.34,9,9,5,8,8,10,10,9,3,2,5,5,0
18.42,9,9,4,1,8,8,1,5,3,5,9,4,0
18.49,8,8,13,5,10,3,5,13,6,5,8,5,1
18.57,8,8,7,4,4,5,10,8,2,6,11,5,0
18.65,7,7,10,8,12,7,11,11,2,3,12,5,2
18.73,4,4,8,1,7,7,9,10,2,5,10,7,2
18.80,8,8,6,4,9,4,5,7,8,4,10,9,3
18.88,3,3,13,2,3,10,9,8,3,1,16,5,4
18.96,11,11,6,5,8,6,13,9,2,5,7,3,1
19.04,10,10,10,4,5,2,8,11,1,6,8,4,4
19.11,3,3,8,4,4,7,8,11,3,9,17,7,2
19.19,5,5,14,3,10,4,2,7,3,5,10,4,3
19.27,5,5,13,5,10,4,8,6,5,6,11,10,3
19.35,7,7,10,5,11,4,7,1,0,3,7,2,5
19.42,8,8,12,4,5,8,10,13,4,7,12,7,0
19.50,10,10,17,6,10,5,9,13,6,6,8,8,3
19.58,14,14,13,7,6,6,15,14,7,6,15,12,5
19.66,7,7,9,7,13,3,12,14,1,3,10,6,2
19.73,8,8,14,9,12,6,9,6,4,3,16,13,4
19.81,8,8,11,0,9,4,9,11,3,5,8,6,1
19.89,5,5,7,6,5,5,10,5,1,6,12,1,2
19.97,8,8,8,2,9,6,6,11,5,4,10,4,3
20.04,2,2,8,3,16,3,9,10,4,1,9,8,2
20.12,5,5,16,5,7,6,11,10,3,2,14,5,0
20.20,5,5,9,8,4,6,10,13,1,8,15,4,0
20.28,6,6,10,6,12,1,11,8,1,4,9,8,2
20.35,4,4,12,7,11,3,14,3,2,7,13,6,1
20.43,5,5,13,2,4,1,15,1,4,5,9,6,1
20.51,1,1,12,6,6,6,13,12,4,2,5,7,2
20.59,10,10,11,6,5,5,7,6,5,3,18,5,1
20.66,7,7,11,8,7,1,11,7,2,3,15,5,0
20.74,7,7,8,7,7,4,6,8,4,3,14,6,4
20.82,2,2,7,4,2,5,4,7,3,4,8,11,3
20.90,9,9,12,5,4,7,10,13,2,7,15,5,2
20.97,7,7,10,5,5,6,15,6,3,3,16,9,3
21.05,10,10,13,3,9,3,12,5,3,2,12,5,1
21.13,3,3,11,4,4,4,6,6,4,5,8,6,0
21.21,4,4,10,8,3,0,5,14,0,6,12,7,3
21.28,7,7,14,4,11,5,6,6,5,3,14,2,3
21.36,5,5,9,7,3,5,15,11,1,3,10,6,2
21.44,8,8,10,4,5,3,6,6,3,7,15,3,2
21.52,6,6,14,2,9,3,4,8,4,4,16,7,2
21.59,3,3,9,4,4,3,6,4,3,2,8,9,0
21.67,4,4,8,5,5,1,9,6,2,5,11,3,2
21.75,3,3,8,4,6,2,9,8,4,3,14,0,1
21.83,4,4,8,1,13,3,15,9,6,3,6,7,3
