"Multisizer","10:58  29 Jun 2026"
"File name:","1A _DLD1_P_Gree_03.#m4_"
"Multisizer","10:58  29 Jun 2026"
"File name:","1B_DLD1_P_Gree_04.#m4_"
"Multisizer","10:58  29 Jun 2026"
"File name:","1C_DLD1_P_Gree_05.#m4_"
"Multisizer","10:58  29 Jun 2026"
"File name:","1D_DLD1_P_Gree_06.#m4_"
"Multisizer","10:58  29 Jun 2026"
"File name:","2A_DLD1_P_Gree_07.#m4_"
"Multisizer","10:58  29 Jun 2026"
"File name:","2B_DLD1_P_Gree_08.#m4_"
"Multisizer","10:58  29 Jun 2026"
"File name:","2C_DLD1_P_Gree_09.#m4_"
"Multisizer","10:58  29 Jun 2026"
"File name:","2D_DLD1 _P_Gree_10.#m4_"
"Multisizer","10:58  29 Jun 2026"
"File name:","3A_DLD1 _P_Gree_11.#m4_"
"Multisizer","10:58  29 Jun 2026"
"File name:","3B_DLD1 _P_Gree_12.#m4_"
"Multisizer","10:58  29 Jun 2026"
"File name:","3C_DLD1 _P_Gree_13.#m4_"
"Multisizer","10:58  29 Jun 2026"
"File name:","3D DLD-1_P_Gree_03.#m4_"
"Multisizer","10:58  29 Jun 2026"
"File name:","4A DLD-1_P_Gree_04.#m4_"
"Multisizer","10:58  29 Jun 2026"
"File name:","4B DLD-1_P_Gree_05.#m4_"
"Multisizer","10:58  29 Jun 2026"
"File name:","4C DLD-1_P_Gree_07.#m4_"
"Multisizer","10:58  29 Jun 2026"
"File name:","4D DLD-1_P_Gree_08.#m4_"
"","1A _DLD1_P_Gree_03.#m4_","1B_DLD1_P_Gree_04.#m4_","1C_DLD1_P_Gree_05.#m4_","1D_DLD1_P_Gree_06.#m4_","2A_DLD1_P_Gree_07.#m4_","2B_DLD1_P_Gree_08.#m4_","2C_DLD1_P_Gree_09.#m4_","2D_DLD1 _P_Gree_10.#m4_","3A_DLD1 _P_Gree_11.#m4_","3B_DLD1 _P_Gree_12.#m4_","3C_DLD1 _P_Gree_13.#m4_","3D DLD-1_P_Gree_03.#m4_","4A DLD-1_P_Gree_04.#m4_","4B DLD-1_P_Gree_05.#m4_","4C DLD-1_P_Gree_07.#m4_","4D DLD-1_P_Gree_08.#m4_"
"Bin Diameter (Center)","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff."
"um","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number"
9.039,9,11,8,5,11,10,9,9,3,3,8,3,4,4,1,2
9.116,8,10,12,6,13,7,7,7,3,3,3,3,5,0,3,1
9.194,5,11,8,11,9,8,7,9,4,5,6,5,5,3,2,0
9.271,5,5,8,8,8,11,9,9,0,10,5,3,4,3,1,1
9.349,6,9,11,7,10,6,3,12,7,6,0,2,4,1,0,0
9.426,7,9,9,6,5,12,1,3,2,2,2,2,6,2,2,3
9.504,11,8,9,9,6,7,14,11,3,4,2,2,5,1,2,3
9.581,5,5,18,7,5,5,5,12,5,5,2,4,2,0,2,1
9.659,5,8,6,1,15,11,8,7,4,4,3,1,3,1,4,1
9.736,4,5,9,9,7,6,5,2,3,1,2,1,4,4,2,1
9.814,4,8,3,6,3,6,2,8,5,9,2,1,5,3,2,1
9.891,9,7,8,6,9,7,5,8,4,8,2,2,6,2,3,0
9.969,8,2,5,8,14,4,7,7,0,3,5,2,1,5,0,5
10.05,5,12,9,7,5,4,5,2,3,2,3,7,1,2,1,1
10.12,6,14,9,4,5,4,3,7,4,1,0,1,3,1,1,1
10.20,6,7,14,7,4,3,5,13,8,2,5,2,3,2,1,1
10.28,3,7,11,3,7,6,7,3,3,3,1,5,2,5,2,1
10.36,2,4,10,6,7,5,5,7,1,2,1,3,4,3,5,1
10.43,6,7,12,4,4,8,4,4,3,6,4,2,3,2,1,4
10.51,1,11,8,8,2,4,4,4,6,2,5,0,4,0,1,1
10.59,10,13,11,9,7,3,5,8,3,1,2,3,6,1,2,2
10.67,6,11,11,6,4,9,3,8,2,2,2,3,4,4,1,3
10.74,5,7,20,9,4,7,3,11,8,1,4,0,3,3,3,1
10.82,5,15,6,16,8,7,4,4,3,2,2,4,5,0,2,1
10.90,11,8,7,6,5,5,2,12,5,0,0,4,3,7,3,1
10.98,7,17,7,8,2,4,3,5,2,5,2,3,1,2,3,2
