cell_line,Well,mM_NaBu,mean_area
CACO2,A1,0,1027.209642074507
CACO2,B1,0,2234.751643535428
CACO2,C1,0,3086.7649744338937
CACO2,D1,0,1682.3411249086926
CACO2,A2,0.5,5275.577520087656
CACO2,B2,0.5,1785.6327611395182
CACO2,C2,0.5,4726.020361577795
CACO2,D2,0.5,1635.8313550036523
CACO2,A3,1,3134.701424397371
CACO2,B3,1,2516.663623082542
CACO2,C3,1,3955.327794010227
CACO2,D3,1,1684.6238130021916
CACO2,A4,5,2739.2257121986854
CACO2,B4,5,1983.3706172388606
CACO2,C4,5,5370.594411979549
CACO2,D4,5,4738.860482103726
DLD1,A1,0,1514.278214024836
DLD1,B1,0,1622.5632304601902
DLD1,C1,0,1284.440056610665
DLD1,D1,0,1508.856829802776
DLD1,A2,0.5,1910.0392622352083
DLD1,B2,0.5,2163.9883126369614
DLD1,C2,0.5,1664.0796201607016
DLD1,D2,0.5,1403.2825054784516
DLD1,A3,1,2313.50438276114
DLD1,B3,1,1802.7529218407599
DLD1,C3,1,1932.0101351351354
DLD1,D3,1,1641.8234112490873
DLD1,A4,5,1632.6926588750916
DLD1,B4,5,2341.181975894814
DLD1,C4,5,1543.0971512052595
DLD1,D4,5,1733.1309349890435
