plate,well,mM_NaBu,uM_Resveratrol,mean,sd,n,sem
plate1,A1,0,0,1707.736029948868,148.23528488741366,4,74.11764244370683
plate1,B1,0,0,1929.442111029949,108.95203554166352,2,77.04072315558801
plate1,C1,1,0,2295.8135500365233,530.2332396360958,2,374.93151935719504
plate1,D1,1,0,2214.6639883126372,396.614675016894,5,177.3714748423525
plate1,A2,0,2.5,1505.8893352812274,384.6622382651231,5,172.0261826276072
plate1,B2,0,2.5,1536.7056245434626,175.31913919676435,5,78.40510260014258
plate1,C2,1,2.5,3137.0982468955444,1179.7850429137818,5,527.6159109585445
plate1,D2,1,2.5,2561.860847333821,1121.2735510569737,5,501.44877630719486
plate1,A3,0,5,2229.0449233016802,915.8597942864274,5,409.584951576685
plate1,B3,0,5,1516.1614317019723,300.76375561081784,5,134.50564054278448
plate1,C3,1,5,2278.3509861212565,550.5594539215526,5,246.21767292475096
plate1,D3,1,5,1696.607925493061,510.53111486034123,6,208.42345487034441
plate1,A4,0,10,1271.6855368882398,116.30626250224942,5,52.013741832792896
plate1,B4,0,10,2350.2556610664724,487.4323523461788,5,217.98637485573695
plate1,C4,1,10,1711.3312636961286,330.8348687290971,5,147.9538511610961
plate1,D4,1,10,2354.3644996347703,813.1971809331726,5,363.67283513555395
plate1,A5,0,20,1824.3243243243246,488.9561056153161,5,218.6678180338827
plate1,B5,0,20,1646.9594594594596,141.6221251207556,3,81.76557206167512
plate1,C5,1,20,2050.310445580716,559.2682493089869,5,250.1123646224389
plate1,D5,1,20,2796.0646457268085,379.261602749923,5,169.61094500086978
plate1,A6,0,40,3301.4517896274656,1021.714781785236,5,456.9247411376303
plate1,B6,0,40,1896.22899926954,434.6322950718722,5,194.3734713994906
plate1,C6,1,40,5072.361212563916,4833.260969496711,5,2161.5000161582366
plate1,D6,1,40,3691.7914536157787,2025.8256570393114,5,905.9767759406151
plate2,A1,0,0,1847.2653396639887,612.456850022909,4,306.2284250114545
plate2,B1,0,0,1347.9273192111032,199.7441756830718,3,115.3223535996814
plate2,C1,1,0,2370.799853907962,705.4694547149018,5,315.49553135844593
plate2,D1,1,0,1723.657779401023,134.59974431400403,5,60.194835608040755
plate2,A2,0,2.5,1490.5953250547848,188.88381911700782,3,109.05212381276905
plate2,B2,0,2.5,1579.620160701242,360.75364957192045,3,208.2812166914882
plate2,C2,1,2.5,1694.8959094229367,700.3882642603045,5,313.2231539058254
plate2,D2,1,2.5,1851.0317750182617,185.09736301630304,5,82.77805723208182
plate2,A3,0,5,1464.915084002922,278.59785024985916,3,160.84854383740725
plate2,B3,0,5,1767.6565924032143,131.9530208226814,2,93.30487582176772
plate2,C3,1,5,1783.2359386413443,399.2662266411949,5,178.55728477790987
plate2,D3,1,5,1549.0321402483567,229.85178618830832,5,102.79284373336094
plate2,A4,0,10,1951.6983199415633,208.21944570184567,2,147.2333820306792
plate2,B4,0,10,1550.6585555149745,371.4571884089593,4,185.72859420447966
plate2,C4,1,10,1879.7936449963481,235.49775187758206,6,96.14155461210588
plate2,D4,1,10,2833.0441928414903,1584.8083843677123,5,708.7478557515639
plate2,A5,0,20,1484.3179327976627,135.30343641672226,4,67.65171820836113
plate2,B5,0,20,1587.0388970051135,227.8525525829141,3,131.5507325692888
plate2,C5,1,20,1906.501095690285,578.1009561963957,5,258.5346071825538
plate2,D5,1,20,2052.364864864865,552.5681383909292,5,247.1159839285258
plate2,A6,0,40,2621.4390065741422,1197.7326094247276,5,535.6423067083792
plate2,B6,0,40,3200.785244704164,1223.0827808663967,5,546.9792480253484
plate2,C6,1,40,2469.411979547115,846.3920724699543,5,378.5180419319492
plate2,D6,1,40,1842.8140978816657,427.7807123823212,5,191.30935047003123
