well,mean
A1,1707.736029948868
A2,1505.8893352812274
A3,2229.0449233016802
A4,1271.6855368882398
A5,1824.3243243243246
A6,3301.4517896274656
B1,1929.442111029949
B2,1536.7056245434626
B3,1516.1614317019723
B4,2350.2556610664724
B5,1646.9594594594596
B6,1896.22899926954
C1,2295.8135500365233
C2,3137.0982468955444
C3,2278.3509861212565
C4,1711.3312636961286
C5,2050.310445580716
C6,5072.361212563916
D1,2214.6639883126372
D2,2561.860847333821
D3,1696.607925493061
D4,2354.3644996347703
D5,2796.0646457268085
D6,3691.7914536157787
