 ,Area,Mean,Min,Max
1,1171.330,2.000,2,2
2,1442.712,3.000,3,3
3,2104.161,3.964,0,4
4,1152.075,6.000,6,6
5,1051.630,9.000,9,9
6,1946.850,11.000,11,11
7,2587.129,12.000,12,12
8,1085.412,13.000,13,13
9,1597.433,15.000,15,15
10,947.694,16.000,16,16
11,1387.534,17.000,17,17
12,1332.470,20.000,20,20
13,963.121,21.000,21,21
14,1574.799,22.000,22,22
15,874.162,23.000,23,23
16,1350.937,24.000,24,24
17,776.645,25.000,25,25
18,1334.722,26.000,26,26
19,1404.200,27.000,27,27
20,2114.521,28.000,28,28
21,1652.722,29.000,29,29
22,1333.483,30.000,30,30
23,1495.637,31.000,31,31
24,1010.416,33.000,33,33
25,1129.441,34.000,34,34
26,1867.462,36.000,36,36
27,1813.299,37.000,37,37
28,960.869,38.000,38,38
29,1116.266,39.000,39,39
30,714.262,40.000,40,40
31,869.883,42.000,42,42
32,885.986,43.000,43,43
