Area,well_column,well_row,cell_line,dose,source_file
813.806,1,C,caco2,0.0,1C_caco2_control.csv
716.852,1,C,caco2,0.0,1C_caco2_control.csv
1311.413,1,C,caco2,0.0,1C_caco2_control.csv
1144.192,1,C,caco2,0.0,1C_caco2_control.csv
787.118,1,C,caco2,0.0,1C_caco2_control.csv
1099.938,1,C,caco2,0.0,1C_caco2_control.csv
1435.392,1,C,caco2,0.0,1C_caco2_control.csv
1290.806,1,C,caco2,0.0,1C_caco2_control.csv
1388.098,1,C,caco2,0.0,1C_caco2_control.csv
1281.009,1,C,caco2,0.0,1C_caco2_control.csv
1169.078,1,C,caco2,0.0,1C_caco2_control.csv
857.722,1,C,caco2,0.0,1C_caco2_control.csv
924.272,1,C,caco2,0.0,1C_caco2_control.csv
881.369,1,C,caco2,0.0,1C_caco2_control.csv
1484.376,1,C,caco2,0.0,1C_caco2_control.csv
1573.898,1,C,caco2,0.0,1C_caco2_control.csv
637.802,4,A,DLD1,5.0,4A_DLD1_5_nabu.csv
446.934,4,A,DLD1,5.0,4A_DLD1_5_nabu.csv
628.23,4,A,DLD1,5.0,4A_DLD1_5_nabu.csv
968.527,4,A,DLD1,5.0,4A_DLD1_5_nabu.csv
1121.896,4,A,DLD1,5.0,4A_DLD1_5_nabu.csv
1349.586,4,A,DLD1,5.0,4A_DLD1_5_nabu.csv
1356.343,4,A,DLD1,5.0,4A_DLD1_5_nabu.csv
1787.062,4,A,DLD1,5.0,4A_DLD1_5_nabu.csv
651.652,4,A,DLD1,5.0,4A_DLD1_5_nabu.csv
593.885,4,A,DLD1,5.0,4A_DLD1_5_nabu.csv
1051.292,4,A,DLD1,5.0,4A_DLD1_5_nabu.csv
1653.623,4,A,DLD1,5.0,4A_DLD1_5_nabu.csv
494.905,4,A,DLD1,5.0,4A_DLD1_5_nabu.csv
755.025,4,A,DLD1,5.0,4A_DLD1_5_nabu.csv
1788.751,2,A,DLD1,0.5,2A_DLD1_05_nabu.csv
1762.401,2,A,DLD1,0.5,2A_DLD1_05_nabu.csv
466.19,2,A,DLD1,0.5,2A_DLD1_05_nabu.csv
434.097,2,A,DLD1,0.5,2A_DLD1_05_nabu.csv
664.152,2,A,DLD1,0.5,2A_DLD1_05_nabu.csv
850.628,2,A,DLD1,0.5,2A_DLD1_05_nabu.csv
1092.056,2,A,DLD1,0.5,2A_DLD1_05_nabu.csv
1502.28,2,A,DLD1,0.5,2A_DLD1_05_nabu.csv
1758.347,2,A,DLD1,0.5,2A_DLD1_05_nabu.csv
1618.828,2,A,DLD1,0.5,2A_DLD1_05_nabu.csv
899.612,2,A,DLD1,0.5,2A_DLD1_05_nabu.csv
1975.564,2,A,DLD1,0.5,2A_DLD1_05_nabu.csv
1552.615,4,B,caco2,5.0,4B_caco2_5_nabu.csv
964.248,4,B,caco2,5.0,4B_caco2_5_nabu.csv
503.688,4,B,caco2,5.0,4B_caco2_5_nabu.csv
1085.75,4,B,caco2,5.0,4B_caco2_5_nabu.csv
1114.802,4,B,caco2,5.0,4B_caco2_5_nabu.csv
1883.34,4,B,caco2,5.0,4B_caco2_5_nabu.csv
1250.605,4,B,caco2,5.0,4B_caco2_5_nabu.csv
917.178,4,B,caco2,5.0,4B_caco2_5_nabu.csv
852.993,4,B,caco2,5.0,4B_caco2_5_nabu.csv
679.804,4,B,caco2,5.0,4B_caco2_5_nabu.csv
963.121,4,B,caco2,5.0,4B_caco2_5_nabu.csv
733.742,4,B,caco2,5.0,4B_caco2_5_nabu.csv
733.742,4,B,caco2,5.0,4B_caco2_5_nabu.csv
639.491,4,B,caco2,5.0,4B_caco2_5_nabu.csv
1064.354,2,A,caco2,0.5,2A_caco2_05_nabu.csv
832.386,2,A,caco2,0.5,2A_caco2_05_nabu.csv
973.594,2,A,caco2,0.5,2A_caco2_05_nabu.csv
925.624,2,A,caco2,0.5,2A_caco2_05_nabu.csv
960.081,2,A,caco2,0.5,2A_caco2_05_nabu.csv
842.858,2,A,caco2,0.5,2A_caco2_05_nabu.csv
2572.49,2,A,caco2,0.5,2A_caco2_05_nabu.csv
674.737,2,A,caco2,0.5,2A_caco2_05_nabu.csv
491.864,2,A,caco2,0.5,2A_caco2_05_nabu.csv
1137.774,2,A,caco2,0.5,2A_caco2_05_nabu.csv
819.886,2,A,caco2,0.5,2A_caco2_05_nabu.csv
2180.958,2,A,caco2,0.5,2A_caco2_05_nabu.csv
2900.85,2,A,caco2,0.5,2A_caco2_05_nabu.csv
1078.655,2,A,caco2,0.5,2A_caco2_05_nabu.csv
1863.071,2,A,caco2,0.5,2A_caco2_05_nabu.csv
1394.516,2,A,caco2,0.5,2A_caco2_05_nabu.csv
1171.33,1,A,DLD1,0.0,1A_DLD1_control.csv
1442.712,1,A,DLD1,0.0,1A_DLD1_control.csv
2104.161,1,A,DLD1,0.0,1A_DLD1_control.csv
1152.075,1,A,DLD1,0.0,1A_DLD1_control.csv
1051.63,1,A,DLD1,0.0,1A_DLD1_control.csv
1946.85,1,A,DLD1,0.0,1A_DLD1_control.csv
2587.129,1,A,DLD1,0.0,1A_DLD1_control.csv
1085.412,1,A,DLD1,0.0,1A_DLD1_control.csv
1597.433,1,A,DLD1,0.0,1A_DLD1_control.csv
947.694,1,A,DLD1,0.0,1A_DLD1_control.csv
1387.534,1,A,DLD1,0.0,1A_DLD1_control.csv
1332.47,1,A,DLD1,0.0,1A_DLD1_control.csv
963.121,1,A,DLD1,0.0,1A_DLD1_control.csv
1574.799,1,A,DLD1,0.0,1A_DLD1_control.csv
874.162,1,A,DLD1,0.0,1A_DLD1_control.csv
1350.937,1,A,DLD1,0.0,1A_DLD1_control.csv
776.645,1,A,DLD1,0.0,1A_DLD1_control.csv
1334.722,1,A,DLD1,0.0,1A_DLD1_control.csv
1404.2,1,A,DLD1,0.0,1A_DLD1_control.csv
2114.521,1,A,DLD1,0.0,1A_DLD1_control.csv
